"person_id","data","first_name","last_name","age","member_party","nominate_party","dist_no","party_no","party_name","list_no","titles","abs_votes","pct_votes","rank","mandate","municipality_id","highest_title","gender","row_id","approx_birth_year","occupation","residence","name"
195928,"municipal_2006","František","Licek",58,"BEZPP","ČSSD",NA,NA,"
Česká str.sociálně demokrat.
",3,"",149,7.48,2,FALSE,571911,"No title","Male",38559,1948,"dělník","Nasavrky",NA
195928,"municipal_2010","František","Licek",62,"BEZPP","ČSSD",NA,NA,"
Česká str.sociálně demokrat.
",3,"",112,6.68,4,FALSE,571911,"No title","Male",46858,1948,"důchodce","Nasavrky","Licek František"
289604,"municipal_2002","Gabriela","Licková",26,"BEZPP","ČSSD",NA,1,"Česká str.sociálně demokrat.",8,"",100,4.73,5,FALSE,571911,"No title","Female",91110,1976,NA,NA,NA
289604,"municipal_2006","Gabriela","Licková",30,"BEZPP","ČSSD",NA,NA,"
Česká str.sociálně demokrat.
",15,"",77,3.86,12,FALSE,571911,"No title","Female",38571,1976,"středoškolská učitelka","Nasavrky",NA
289604,"municipal_2010","Gabriela","Licková",34,"ČSSD","ČSSD",NA,NA,"
Česká str.sociálně demokrat.
",1,"Bc.",141,8.41,2,FALSE,571911,"Bachelor","Female",46856,1976,"učitelka MŠ - zdravotní sestra","Nasavrky","Licková Gabriela Bc."
70125,"municipal_1994","Karel","Linek",50,"BEZPP","ODS",NA,3,"Občanská demokratická strana",6,"",288,6.57,2,FALSE,571911,"No title","Male",70125,1944,NA,NA,NA
352632,"municipal_2006","Josef","Lojda",46,"BEZPP","NK",NA,NA,"
Sdružení KSČM, NK
",9,"",158,6.61,5,FALSE,571911,"No title","Male",38632,1960,"pedagog","Nasavrky",NA
352632,"municipal_2010","Josef","Lojda",50,"BEZPP","KSČM",NA,NA,"
Komunistická str.Čech a Moravy
",8,"",149,7.36,5,FALSE,571911,"No title","Male",46893,1960,"pedagog","Nasavrky","Lojda Josef"
352632,"municipal_2014","Josef","Lojda",54,"BEZPP","NK",NA,NA,"
Sdružení KSČM, NK
",12,"",127,7.07,10,FALSE,571911,"No title","Male",44746,1960,"pedagog","Nasavrky","Lojda Josef"
352632,"municipal_2018","Josef","Lojda",58,"BEZPP","PATRIOTI",1,776,"PATRIOTI",12,"",0,0,NA,FALSE,571911,"No title","Male",119842,1960,NA,NA,"Lojda Josef"
289613,"municipal_2002","Regina","Losenická",30,"BEZPP","ODS",NA,2,"Občanská demokratická strana",6,"",211,5.74,1,FALSE,571911,"No title","Female",91123,1972,NA,NA,NA
70127,"municipal_1994","Luboš","Losenický",29,"BEZPP","ODS",NA,3,"Občanská demokratická strana",8,"",380,8.67,3,TRUE,571911,"No title","Male",70127,1965,NA,NA,NA
70127,"municipal_2014","Luboš","Losenický",49,"BEZPP","PATRIOTI",NA,NA,"
PATRIOTI
",7,"MVDr.",159,8.25,2,FALSE,571911,"Doctor","Male",44756,1965,"manažer","Nasavrky","Losenický Luboš MVDr."
70115,"municipal_1994","Josef","Mandík",48,"KSČM","KSČM",NA,2,"Sdružení KSČM, NK",11,"",278,7.52,4,TRUE,571911,"No title","Male",70115,1946,NA,NA,NA
70115,"municipal_1998","Josef","Mandík",52,"KSČM","KSČM",NA,1,"Sdružení KSČM, NK",3,"",311,11.43,2,TRUE,571911,"No title","Male",84986,1946,NA,NA,NA
70115,"municipal_2002","Josef","Mandík",56,"KSČM","KSČM",NA,3,"Sdružení KSČM a NK",6,"",299,11.27,1,TRUE,571911,"No title","Male",91138,1946,NA,NA,NA
